Location,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Latitude,Longitude
Hubei,258,270,375,375,375,375,375,375,7153,7153,7153,7153,9074,11177,13522,16678,31.2,112.3
Zhejiang,0,5,5,5,5,5,5,5,599,599,599,599,661,724,829,895,29.2,120.5
Guangdong,14,17,26,32,32,32,32,32,520,520,520,520,604,683,797,870,23.4,113.5
Henan,0,1,1,1,1,1,1,1,422,422,422,422,493,566,675,764,33.9,113.5
Hunan,0,1,1,1,1,1,1,1,389,389,389,389,463,521,59,661,28.11265,112.98338
Anhui,0,0,0,0,0,0,0,0,297,297,297,297,340,408,480,530,31.83333,117
Jiangxi,0,2,2,2,2,2,2,2,286,286,286,286,333,391,476,548,27.3,116
Chongqing,0,1,5,5,5,5,5,5,238,238,238,238,262,300,337,366,29.558333,106.56667
Jiangsu,0,0,0,0,0,0,0,0,202,202,202,202,231,271,308,341,32.9,119.8
Sichuan,0,1,2,2,2,2,2,2,207,207,207,207,236,254,282,301,30.13333,102.93333
Shandong,0,1,1,1,1,1,1,1,202,202,202,202,225,246,270,298,36.4,118.4
Beijing,5,5,10,10,10,10,10,10,156,156,156,156,183,212,228,253,39.91667,116.38333
Shanghai,1,2,9,9,9,9,9,9,153,153,153,153,177,193,208,233,31.228611,121.474722
Fujian,0,0,0,0,0,0,0,0,144,144,144,144,159,179,194,205,25.9,118.3
Heilongjiang,0,0,0,0,0,0,0,0,80,80,80,80,95,118,155,190,48,129
Shaanxi,0,0,0,0,0,0,0,0,101,101,101,101,116,128,142,165,35.6,108.4
Guangxi,0,0,0,0,0,0,0,0,100,100,100,100,111,127,139,150,23.6,108.3
Hebei,0,0,0,0,0,0,0,0,96,96,96,96,104,113,126,135,39.3,116.7
Yunnan,0,1,1,1,1,1,1,1,91,91,91,91,99,109,117,122,25.05,101.86667
Hainan,0,0,0,0,0,0,0,0,57,57,57,57,63,70,79,89,19.2,109.7
Liaoning,0,0,0,0,0,0,0,0,60,60,60,60,64,70,74,81,41.1,122.3
Shanxi,0,0,0,0,0,0,0,0,47,47,47,47,56,66,74,81,37.7,112.4
Tianjin,0,2,2,2,2,2,2,2,34,34,34,34,40,49,63,67,39.13333,117.183333
Gansu,0,0,0,0,0,0,0,0,35,35,35,35,45,51,56,57,38,102
Guizhou,0,0,0,0,0,0,0,0,29,29,29,29,38,46,56,64,26.8333,106.833333
Jilin,0,0,0,0,0,0,0,0,17,17,17,17,21,31,42,54,43.7,126.2
Inner Mongolia,0,0,0,0,0,0,0,0,23,23,23,23,26,33,37,42,44,113
Ningxia,0,0,0,0,0,0,0,0,26,26,26,26,28,31,34,34,37.288768,105.993233
Xinjiang,0,0,0,0,0,0,0,0,18,18,18,18,23,24,29,32,41,85
Hong Kong SAR,0,0,1,2,2,2,2,2,13,13,13,13,14,15,15,18,22.430753,114.106405
Qinghai,0,0,0,0,0,0,0,0,8,8,8,8,9,13,15,17,35,96
Taipei and environs,0,1,1,1,1,1,1,1,10,10,10,10,10,10,10,11,25.06667,121.5166667
Macao SAR,0,0,1,2,2,2,2,2,7,7,7,7,7,8,8,10,22.196527,113.546124
Xizang,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,31.627827,87.274641
